Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
water	part_org_nitro	particulate organic nitrogen	Concentration of particulate organic nitrogen	measurement value	{float} {unit}	0.3 micromole per liter	X	"microgram per liter, micromole per liter"	1	MIXS:0000719	
built environment	built_struc_type	built structure type	A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads	free text	{text}		X		1	MIXS:0000721	
water	photon_flux	photon flux	Measurement of photon flux	measurement value	{float} {unit}	3.926 micromole photons per second per square meter	X	number of photons per second per unit area	1	MIXS:0000725	
water	primary_prod	primary production	"Measurement of primary production, generally measured as isotope uptake"	measurement value	{float} {unit}	100 milligram per cubic meter per day	X	"milligram per cubic meter per day, gram per square meter per day"	1	MIXS:0000728	
agriculture	size_frac_low	size-fraction lower threshold	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	value	{float} {unit}	0.2 micrometer	X	micrometer	1	MIXS:0000735	
food-farm environment	size_frac_low	size-fraction lower threshold	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample.	value	{float} {unit}	0.2 micrometer	X	micrometer	1	MIXS:0000735	
water	size_frac_low	size-fraction lower threshold	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	value	{float} {unit}	0.2 micrometer	X	micrometer	1	MIXS:0000735	
agriculture	size_frac_up	size-fraction upper threshold	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	value	{float} {unit}	20 micrometer	X	micrometer	1	MIXS:0000736	
food-farm environment	size_frac_up	size-fraction upper threshold	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample.	value	{float} {unit}	20 micrometer	X	micrometer	1	MIXS:0000736	
water	size_frac_up	size-fraction upper threshold	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	value	{float} {unit}	20 micrometer	X	micrometer	1	MIXS:0000736	
water	soluble_react_phosp	soluble reactive phosphorus	Concentration of soluble reactive phosphorus	measurement value	{float} {unit}	0.1 milligram per liter	X	"micromole per liter, milligram per liter, parts per million"	1	MIXS:0000738	
water	suspend_part_matter	suspended particulate matter	Concentration of suspended particulate matter	measurement value	{float} {unit}	0.5 milligram per liter	X	milligram per liter	1	MIXS:0000741	
water	tot_diss_nitro	total dissolved nitrogen	"Total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen"	measurement value	{float} {unit}	40 microgram per liter	X	microgram per liter	1	MIXS:0000744	
water	tot_inorg_nitro	total inorganic nitrogen	Total inorganic nitrogen content	measurement value	{float} {unit}	40 microgram per liter	X	microgram per liter	1	MIXS:0000745	
water	tot_part_carb	total particulate carbon	Total particulate carbon content	measurement value	{float} {unit}	35 micromole per liter	X	"microgram per liter, micromole per liter"	1	MIXS:0000747	
sediment	tidal_stage	tidal stage	Stage of tide	enumeration	[low tide|ebb tide|flood tide|high tide]	high tide	X		1	MIXS:0000750	
water	tidal_stage	tidal stage	Stage of tide	enumeration	[low tide|ebb tide|flood tide|high tide]	high tide	X		1	MIXS:0000750	
agriculture	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	M		m	MIXS:0000751	
air	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
food-farm environment	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi."	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	M		m	MIXS:0000751	
host-associated	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
human-associated	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
human-gut	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
human-oral	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
human-skin	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
human-vaginal	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
microbial mat/biofilm	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
miscellaneous natural or artificial environment	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
plant-associated	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
sediment	chem_administration	chemical administration	"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z	X		m	MIXS:0000751	
symbiont-associated	chem_administration	chemical administration	"List of chemical compounds administered to the symbiont, its host, or environment where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI."	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}		X		m	MIXS:0000751	
